Tools,Port 0x01: BrainLAB Y Junction  s/n:38220010,Frame,Time [sec],Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz,Port 0x02: BrainLAB T Junction  s/n:3B21FC02,Frame,Time [sec],Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz,Port 0x03: BrainLAB Black Probe  s/n:38220401,Frame,Time [sec],Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz
3,Port 0x01: BrainLAB Y Junction  s/n:38220010,1391283610,1727255260.168430382,1,OK,0.9573733,-0.0372205,-0.1895465,0.2147628,-149.371,-19.411,-2148.287,0.1576889,3,OK,-149.431,-19.468,-2148.313,OK,-205.358,-91.750,-2168.778,OK,-235.150,-15.528,-2198.463,Port 0x02: BrainLAB T Junction  s/n:3B21FC02,1391283610,1727255260.168430382,1,OK,0.0229911,-0.1883719,0.0209574,0.9816049,128.053,196.887,-2024.916,0.4089232,3,OK,127.732,196.762,-2025.000,OK,219.120,148.869,-2000.225,OK,144.768,102.065,-2019.470,Port 0x03: BrainLAB Black Probe  s/n:38220401,1391283610,1727255260.168430382,1,OK,0.4045227,0.4753162,0.4191396,-0.6593617,16.901,16.200,-2059.371,0.2336452,3,OK,-212.545,138.060,-2009.022,OK,-88.874,68.925,-2026.566,OK,-175.994,113.642,-1997.458
3,Port 0x01: BrainLAB Y Junction  s/n:38220010,1391283613,1727255260.218430381,1,OK,0.9572377,-0.0381046,-0.1901629,0.2146674,-149.419,-19.391,-2148.309,0.1349549,3,OK,-149.440,-19.460,-2148.310,OK,-205.388,-91.747,-2168.779,OK,-235.168,-15.522,-2198.663,Port 0x02: BrainLAB T Junction  s/n:3B21FC02,1391283613,1727255260.218430381,1,OK,0.0229961,-0.1876965,0.0208347,0.9817368,128.048,196.874,-2024.859,0.4008906,3,OK,127.739,196.746,-2024.939,OK,219.138,148.859,-2000.309,OK,144.771,102.048,-2019.462,Port 0x03: BrainLAB Black Probe  s/n:38220401,1391283613,1727255260.218430381,1,OK,0.4045275,0.4760282,0.4190547,-0.6588989,16.955,16.202,-2059.128,0.1592209,3,OK,-212.537,138.074,-2008.932,OK,-88.867,68.929,-2026.394,OK,-175.978,113.662,-1997.528
3,Port 0x01: BrainLAB Y Junction  s/n:38220010,1391283616,1727255260.268430381,1,OK,0.9572621,-0.0375552,-0.1900324,0.2147709,-149.449,-19.404,-2148.244,0.1415051,3,OK,-149.479,-19.470,-2148.250,OK,-205.405,-91.755,-2168.759,OK,-235.213,-15.527,-2198.543,Port 0x02: BrainLAB T Junction  s/n:3B21FC02,1391283616,1727255260.268430381,1,OK,0.0229982,-0.1878180,0.0219067,0.9816902,128.025,196.864,-2024.950,0.4090702,3,OK,127.706,196.744,-2025.033,OK,219.092,148.853,-2000.280,OK,144.719,102.047,-2019.347,Port 0x03: BrainLAB Black Probe  s/n:38220401,1391283616,1727255260.268430381,1,OK,0.4044153,0.4756963,0.4190694,-0.6591981,16.886,16.194,-2059.280,0.1913837,3,OK,-212.549,138.114,-2008.975,OK,-88.894,68.943,-2026.497,OK,-175.998,113.692,-1997.508
3,Port 0x01: BrainLAB Y Junction  s/n:38220010,1391283619,1727255260.318430382,1,OK,0.9572993,-0.0374854,-0.1898927,0.2147409,-149.399,-19.398,-2148.296,0.1355696,3,OK,-149.441,-19.454,-2148.311,OK,-205.371,-91.759,-2168.800,OK,-235.162,-15.507,-2198.559,Port 0x02: BrainLAB T Junction  s/n:3B21FC02,1391283619,1727255260.318430382,1,OK,0.0229849,-0.1875748,0.0210206,0.9817563,128.037,196.878,-2024.844,0.3988894,3,OK,127.731,196.750,-2024.924,OK,219.128,148.869,-2000.301,OK,144.757,102.052,-2019.417,Port 0x03: BrainLAB Black Probe  s/n:38220401,1391283619,1727255260.318430382,1,OK,0.4046925,0.4752552,0.4189237,-0.6594387,16.899,16.178,-2059.281,0.2092998,3,OK,-212.561,138.062,-2009.017,OK,-88.891,68.922,-2026.511,OK,-175.992,113.653,-1997.488
3,Port 0x01: BrainLAB Y Junction  s/n:38220010,1391283622,1727255260.368430382,1,OK,0.9573967,-0.0377611,-0.1893238,0.2147606,-149.345,-19.408,-2148.365,0.1500425,3,OK,-149.425,-19.475,-2148.401,OK,-205.336,-91.771,-2168.751,OK,-235.131,-15.538,-2198.531,Port 0x02: BrainLAB T Junction  s/n:3B21FC02,1391283622,1727255260.368430382,1,OK,0.0229543,-0.1880028,0.0204268,0.9816877,128.061,196.874,-2024.870,0.4030137,3,OK,127.752,196.742,-2024.951,OK,219.151,148.863,-2000.298,OK,144.801,102.052,-2019.536,Port 0x03: BrainLAB Black Probe  s/n:38220401,1391283622,1727255260.368430382,1,OK,0.4043925,0.4762594,0.4191100,-0.6587795,16.980,16.216,-2059.213,0.1470603,3,OK,-212.493,138.106,-2008.993,OK,-88.838,68.948,-2026.471,OK,-175.954,113.701,-1997.649
3,Port 0x01: BrainLAB Y Junction  s/n:38220010,1391283625,1727255260.418430382,1,OK,0.9573057,-0.0373165,-0.1898169,0.2148088,-149.423,-19.412,-2148.319,0.1501691,3,OK,-149.462,-19.461,-2148.333,OK,-205.399,-91.765,-2168.839,OK,-235.186,-15.545,-2198.552,Port 0x02: BrainLAB T Junction  s/n:3B21FC02,1391283625,1727255260.418430382,1,OK,0.0230150,-0.1880944,0.0210332,0.9816559,128.040,196.871,-2024.911,0.4023964,3,OK,127.722,196.751,-2024.994,OK,219.117,148.855,-2000.265,OK,144.746,102.040,-2019.463,Port 0x03: BrainLAB Black Probe  s/n:38220401,1391283625,1727255260.418430382,1,OK,0.4043630,0.4752707,0.4191342,-0.6594959,16.883,16.204,-2059.399,0.2237800,3,OK,-212.521,138.132,-2008.969,OK,-88.862,68.955,-2026.558,OK,-175.962,113.702,-1997.437
3,Port 0x01: BrainLAB Y Junction  s/n:38220010,1391283628,1727255260.468430381,1,OK,0.9573134,-0.0376349,-0.1897944,0.2147389,-149.420,-19.393,-2148.287,0.1417074,3,OK,-149.467,-19.461,-2148.304,OK,-205.391,-91.747,-2168.757,OK,-235.191,-15.512,-2198.542,Port 0x02: BrainLAB T Junction  s/n:3B21FC02,1391283628,1727255260.468430381,1,OK,0.0229312,-0.1878811,0.0215146,0.9816883,128.037,196.872,-2024.991,0.4070722,3,OK,127.710,196.764,-2025.076,OK,219.119,148.866,-2000.342,OK,144.756,102.043,-2019.456,Port 0x03: BrainLAB Black Probe  s/n:38220401,1391283628,1727255260.468430381,1,OK,0.4042732,0.4761488,0.4191050,-0.6589359,16.928,16.206,-2059.167,0.1647809,3,OK,-212.501,138.152,-2008.897,OK,-88.866,68.964,-2026.401,OK,-175.962,113.727,-1997.502
3,Port 0x01: BrainLAB Y Junction  s/n:38220010,1391283631,1727255260.518430381,1,OK,0.9573035,-0.0374997,-0.1897752,0.2148234,-149.384,-19.394,-2148.307,0.1406783,3,OK,-149.425,-19.454,-2148.320,OK,-205.349,-91.758,-2168.791,OK,-235.160,-15.525,-2198.551,Port 0x02: BrainLAB T Junction  s/n:3B21FC02,1391283631,1727255260.518430381,1,OK,0.0229230,-0.1878871,0.0219198,0.9816784,128.072,196.858,-2024.989,0.4072407,3,OK,127.752,196.742,-2025.073,OK,219.143,148.861,-2000.304,OK,144.779,102.038,-2019.378,Port 0x03: BrainLAB Black Probe  s/n:38220401,1391283631,1727255260.518430381,1,OK,0.4045267,0.4755204,0.4189581,-0.6593273,16.947,16.185,-2059.212,0.1883148,3,OK,-212.488,138.110,-2008.928,OK,-88.840,68.946,-2026.434,OK,-175.929,113.696,-1997.460
3,Port 0x01: BrainLAB Y Junction  s/n:38220010,1391283634,1727255260.568430382,1,OK,0.9574010,-0.0374691,-0.1893475,0.2147718,-149.401,-19.396,-2148.281,0.1589439,3,OK,-149.476,-19.460,-2148.314,OK,-205.393,-91.742,-2168.710,OK,-235.188,-15.524,-2198.432,Port 0x02: BrainLAB T Junction  s/n:3B21FC02,1391283634,1727255260.568430382,1,OK,0.0230116,-0.1877420,0.0204748,0.9817353,128.008,196.882,-2024.860,0.4015612,3,OK,127.699,196.755,-2024.940,OK,219.098,148.857,-2000.335,OK,144.744,102.054,-2019.528,Port 0x03: BrainLAB Black Probe  s/n:38220401,1391283634,1727255260.568430382,1,OK,0.4043413,0.4758450,0.4194288,-0.6589075,16.912,16.219,-2059.185,0.1864297,3,OK,-212.570,138.010,-2008.794,OK,-88.902,68.906,-2026.362,OK,-176.006,113.589,-1997.354
3,Port 0x01: BrainLAB Y Junction  s/n:38220010,1391283637,1727255260.618430382,1,OK,0.9572822,-0.0373593,-0.1899892,0.2147537,-149.399,-19.406,-2148.244,0.1494636,3,OK,-149.438,-19.477,-2148.254,OK,-205.355,-91.743,-2168.775,OK,-235.165,-15.519,-2198.521,Port 0x02: BrainLAB T Junction  s/n:3B21FC02,1391283637,1727255260.618430382,1,OK,0.0229238,-0.1877451,0.0218242,0.9817077,128.060,196.860,-2024.944,0.4067236,3,OK,127.739,196.746,-2025.027,OK,219.140,148.861,-2000.293,OK,144.771,102.038,-2019.356,Port 0x03: BrainLAB Black Probe  s/n:38220401,1391283637,1727255260.618430382,1,OK,0.4040475,0.4761518,0.4196977,-0.6586949,16.959,16.222,-2059.208,0.1537359,3,OK,-212.505,137.999,-2008.677,OK,-88.847,68.892,-2026.326,OK,-175.949,113.585,-1997.363
