Tools,Port 0x01: JJH Probe  s/n:3E4C880C,Frame,Time [sec],Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,Frame,Time [sec],Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,Frame,Time [sec],Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz
3,Port 0x01: JJH Probe  s/n:3E4C880C,650512279,1778067471.318767388,1,OK,0.5973400,0.4357213,0.5083389,0.4415014,-42.126,-236.320,-1655.290,0.2372032,3,OK,-54.047,-355.147,-1630.068,OK,-63.615,-454.763,-1607.345,OK,-65.116,-497.277,-1622.411,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,650512279,1778067471.318767388,1,OK,0.4553634,0.2025390,0.1262113,-0.8577254,82.578,-64.021,-1575.863,0.2618398,3,OK,82.377,-64.192,-1575.993,OK,25.053,10.764,-1557.116,OK,127.934,1.703,-1534.221,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,650512279,1778067471.318767388,1,OK,0.9642453,0.2464048,0.0975374,0.0014287,-236.679,-123.412,-1628.129,0.4350872,3,OK,-236.181,-123.598,-1628.341,OK,-290.424,-55.476,-1578.788,OK,-328.452,-128.206,-1610.619
3,Port 0x01: JJH Probe  s/n:3E4C880C,650512282,1778067471.368767388,1,OK,0.5956001,0.4373517,0.5092747,0.4411613,-42.052,-236.351,-1655.106,0.2153924,3,OK,-53.821,-355.234,-1630.110,OK,-63.259,-454.892,-1607.531,OK,-64.815,-497.413,-1622.743,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,650512282,1778067471.368767388,1,OK,0.4553981,0.2022687,0.1260506,-0.8577943,82.615,-64.096,-1575.851,0.2525886,3,OK,82.418,-64.257,-1575.975,OK,25.102,10.697,-1557.125,OK,127.977,1.644,-1534.266,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,650512282,1778067471.368767388,1,OK,0.9642249,0.2467881,0.0967675,0.0014112,-236.621,-123.482,-1628.116,0.4386713,3,OK,-236.127,-123.655,-1628.319,OK,-290.380,-55.538,-1578.798,OK,-328.442,-128.274,-1610.756
3,Port 0x01: JJH Probe  s/n:3E4C880C,650512285,1778067471.418767388,1,OK,0.5930110,0.4391482,0.5122751,0.4393871,-42.164,-236.350,-1655.307,0.2094042,3,OK,-53.582,-355.235,-1630.212,OK,-62.719,-454.912,-1607.481,OK,-64.369,-497.438,-1622.753,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,650512285,1778067471.418767388,1,OK,0.4554231,0.2022518,0.1254775,-0.8578691,82.586,-64.063,-1575.756,0.2398183,3,OK,82.391,-64.193,-1575.866,OK,25.073,10.751,-1557.143,OK,127.953,1.687,-1534.225,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,650512285,1778067471.418767388,1,OK,0.9642344,0.2466059,0.0971369,0.0014314,-236.652,-123.427,-1628.127,0.4414858,3,OK,-236.148,-123.607,-1628.336,OK,-290.406,-55.489,-1578.798,OK,-328.456,-128.221,-1610.694
3,Port 0x01: JJH Probe  s/n:3E4C880C,650512288,1778067471.468767388,1,OK,0.5933185,0.4386731,0.5121817,0.4395554,-42.132,-236.430,-1655.230,0.2302645,3,OK,-53.537,-355.306,-1630.055,OK,-62.655,-454.985,-1607.374,OK,-64.285,-497.490,-1622.491,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,650512288,1778067471.468767388,1,OK,0.4553923,0.2023168,0.1257536,-0.8578297,82.570,-64.144,-1575.805,0.2432596,3,OK,82.374,-64.283,-1575.920,OK,25.056,10.660,-1557.140,OK,127.934,1.593,-1534.242,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,650512288,1778067471.468767388,1,OK,0.9641464,0.2468756,0.0973253,0.0013762,-236.676,-123.510,-1628.156,0.4448391,3,OK,-236.178,-123.698,-1628.370,OK,-290.408,-55.579,-1578.758,OK,-328.467,-128.316,-1610.695
3,Port 0x01: JJH Probe  s/n:3E4C880C,650512291,1778067471.518767388,1,OK,0.5930931,0.4388810,0.5116289,0.4402954,-42.107,-236.341,-1654.963,0.2098395,3,OK,-53.489,-355.263,-1630.001,OK,-62.590,-454.963,-1607.478,OK,-64.191,-497.487,-1622.698,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,650512291,1778067471.518767388,1,OK,0.4554316,0.2023387,0.1260519,-0.8577599,82.611,-64.087,-1575.843,0.2622484,3,OK,82.414,-64.264,-1575.975,OK,25.080,10.709,-1557.120,OK,127.971,1.661,-1534.243,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,650512291,1778067471.518767388,1,OK,0.9643025,0.2462023,0.0974825,0.0014834,-236.640,-123.463,-1628.118,0.4336283,3,OK,-236.137,-123.642,-1628.328,OK,-290.397,-55.524,-1578.819,OK,-328.420,-128.256,-1610.616
3,Port 0x01: JJH Probe  s/n:3E4C880C,650512294,1778067471.568767388,1,OK,0.5932134,0.4385927,0.5116530,0.4403924,-42.134,-236.425,-1655.248,0.2146624,3,OK,-53.488,-355.353,-1630.267,OK,-62.573,-455.041,-1607.628,OK,-64.142,-497.549,-1622.940,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,650512294,1778067471.568767388,1,OK,0.4553246,0.2021762,0.1261639,-0.8578386,82.591,-64.136,-1575.878,0.2612951,3,OK,82.389,-64.308,-1576.008,OK,25.091,10.661,-1557.125,OK,127.976,1.602,-1534.293,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,650512294,1778067471.568767388,1,OK,0.9641935,0.2466457,0.0974411,0.0014431,-236.641,-123.504,-1628.167,0.4443696,3,OK,-236.132,-123.692,-1628.382,OK,-290.390,-55.583,-1578.799,OK,-328.428,-128.304,-1610.676
3,Port 0x01: JJH Probe  s/n:3E4C880C,650512297,1778067471.618767388,1,OK,0.5935165,0.4378938,0.5112484,0.4411488,-42.125,-236.392,-1655.204,0.2365965,3,OK,-53.414,-355.324,-1630.227,OK,-62.439,-455.050,-1607.722,OK,-63.946,-497.526,-1622.888,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,650512297,1778067471.618767388,1,OK,0.4554675,0.2021355,0.1258240,-0.8578222,82.584,-64.101,-1575.854,0.2420747,3,OK,82.396,-64.252,-1575.971,OK,25.056,10.703,-1557.171,OK,127.945,1.649,-1534.312,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,650512297,1778067471.618767388,1,OK,0.9641944,0.2466233,0.0974902,0.0013410,-236.679,-123.483,-1628.161,0.4434316,3,OK,-236.176,-123.676,-1628.378,OK,-290.410,-55.541,-1578.785,OK,-328.456,-128.270,-1610.660
3,Port 0x01: JJH Probe  s/n:3E4C880C,650512300,1778067471.668767388,1,OK,0.5933665,0.4385290,0.5106952,0.4413603,-42.112,-236.375,-1655.156,0.2165989,3,OK,-53.494,-355.343,-1630.378,OK,-62.598,-455.072,-1607.986,OK,-64.132,-497.559,-1623.287,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,650512300,1778067471.668767388,1,OK,0.4553976,0.2022213,0.1260863,-0.8578006,82.598,-64.100,-1575.856,0.2515496,3,OK,82.405,-64.268,-1575.982,OK,25.084,10.698,-1557.120,OK,127.959,1.640,-1534.277,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,650512300,1778067471.668767388,1,OK,0.9642180,0.2464791,0.0976206,0.0014064,-236.657,-123.474,-1628.158,0.4448795,3,OK,-236.147,-123.667,-1628.377,OK,-290.398,-55.539,-1578.792,OK,-328.430,-128.267,-1610.630
3,Port 0x01: JJH Probe  s/n:3E4C880C,650512303,1778067471.718767388,1,OK,0.5936241,0.4382499,0.5100781,0.4420043,-42.118,-236.354,-1655.040,0.2177183,3,OK,-53.510,-355.332,-1630.357,OK,-62.627,-455.093,-1608.059,OK,-64.123,-497.568,-1623.370,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,650512303,1778067471.718767388,1,OK,0.4553953,0.2023195,0.1261891,-0.8577635,82.615,-64.096,-1575.871,0.2582993,3,OK,82.417,-64.268,-1576.001,OK,25.097,10.691,-1557.121,OK,127.974,1.640,-1534.266,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,650512303,1778067471.718767388,1,OK,0.9642156,0.2464431,0.0977345,0.0014212,-236.654,-123.477,-1628.208,0.4443284,3,OK,-236.143,-123.672,-1628.428,OK,-290.395,-55.548,-1578.837,OK,-328.420,-128.271,-1610.658
3,Port 0x01: JJH Probe  s/n:3E4C880C,650512306,1778067471.768767386,1,OK,0.5939214,0.4379842,0.5098071,0.4421810,-42.116,-236.337,-1655.147,0.2257231,3,OK,-53.537,-355.318,-1630.449,OK,-62.675,-455.069,-1608.179,OK,-64.160,-497.541,-1623.441,Port 0x02: JJH T tibia tracker  s/n:3E4C8800,650512306,1778067471.768767386,1,OK,0.4554090,0.2022780,0.1261210,-0.8577760,82.567,-64.069,-1575.831,0.2611811,3,OK,82.367,-64.242,-1575.962,OK,25.046,10.722,-1557.094,OK,127.932,1.676,-1534.235,Port 0x03: JJH Y femur tracker  s/n:3E4C8801,650512306,1778067471.768767386,1,OK,0.9641845,0.2464948,0.0979115,0.0013725,-236.697,-123.447,-1628.185,0.4426052,3,OK,-236.186,-123.643,-1628.406,OK,-290.424,-55.528,-1578.789,OK,-328.453,-128.234,-1610.599
